example,plain_example,type,group_index,category_id,category_name,category_type,rule_id,rule_name,error_type
"<example correction=""right|detailed|correct"">We need <marker>accurate</marker> information.</example>",We need accurate information.,single,,PLAIN_ENGLISH,Plain English,style,ACCURATE,accurate,
"<example correction=""get|develop"">He <marker>acquired</marker> all the tools he needed.</example>",He acquired all the tools he needed.,single,,PLAIN_ENGLISH,Plain English,style,ACQUIRE,"verb acquire (get, develop)",
"<example correction=""""><marker>All things considered,</marker> Connecticut's woodlands are in better shape now than ever before.</example>","All things considered, Connecticut's woodlands are in better shape now than ever before.",single,,PLAIN_ENGLISH,Plain English,style,ALL_THINGS_CONSIDERED,all things considered (omit),
"<example correction=""like"">I think my point is very much <marker>along the lines of</marker> his.</example>",I think my point is very much along the lines of his.,single,,PLAIN_ENGLISH,Plain English,style,ALONG_THE_LINES_OF,along the lines of (like),
"<example correction=""In fact|Actually""><marker>As a matter of fact</marker>, dry-bulb temperature indicates the amount of heat in the air.</example>","As a matter of fact, dry-bulb temperature indicates the amount of heat in the air.",single,,PLAIN_ENGLISH,Plain English,style,AS_A_MATTER_OF_FACT,"as a matter of fact (in fact, actually, omit) ",
"<example correction=""In accordance with|As""><marker>As per</marker> usual, he came late to work.</example>","As per usual, he came late to work.",single,,PLAIN_ENGLISH,Plain English,style,AS_PER,"as per (as, in accordance with) ",
"<example correction=""help"">Do you need any <marker>assistance</marker>?</example>",Do you need any assistance?,single,,PLAIN_ENGLISH,Plain English,style,ASSIST_ASSISTANCE,"assist, assistance (help)",
"<example correction=""always"">Kingfisher can be found near water <marker>at all times</marker></example>",Kingfisher can be found near water at all times,single,,PLAIN_ENGLISH,Plain English,style,AT_ALL_TIMES,at all times (always) ,
"<example correction=""Now|For now|Currently""><marker>At the present time</marker>, this Wiki is experimental.</example>","At the present time, this Wiki is experimental.",group,0,PLAIN_ENGLISH,Plain English,style,TIME_NOW,"at the present time, at this time, at this point in time, at the moment (now, currently)",
"<example correction=""""><marker>At this time</marker>, Churchill was serving as Chancellor of the Exchequer</example>","At this time, Churchill was serving as Chancellor of the Exchequer",group,1,PLAIN_ENGLISH,Plain English,style,TIME_NOW,"at the present time, at this time, at this point in time, at the moment (now, currently)",
"<example correction=""now|currently"">This document has no formal standing <marker>at this point in time</marker>.</example>",This document has no formal standing at this point in time.,group,2,PLAIN_ENGLISH,Plain English,style,TIME_NOW,"at the present time, at this time, at this point in time, at the moment (now, currently)",
"<example correction=""Now|Currently""><marker>At the moment</marker>, I am taking a leave of absence from my work.</example>","At the moment, I am taking a leave of absence from my work.",group,3,PLAIN_ENGLISH,Plain English,style,TIME_NOW,"at the present time, at this time, at this point in time, at the moment (now, currently)",
"<example correction=""as soon as you can"">Please come <marker>at your earliest convenience</marker>.</example>",Please come at your earliest convenience.,single,,PLAIN_ENGLISH,Plain English,style,AT_YOUR_EARLIEST_CONVENIENCE,at your earliest convenience (as soon as you can),
"<example correction=""regularly"">We have been coming here <marker>on a regular basis</marker> for years.</example>",We have been coming here on a regular basis for years.,single,,PLAIN_ENGLISH,Plain English,style,BASIS_ON_A,on a x basis,
"<example correction="""">You <marker>are advised</marker> look after your belongings.</example>",You are advised look after your belongings.,single,,PLAIN_ENGLISH,Plain English,style,BE_ADVISED,be advised,
"<example correction=""because"">The experiment was halted <marker>due to the fact that</marker> funding was withdrawn.</example>",The experiment was halted due to the fact that funding was withdrawn.,single,,PLAIN_ENGLISH,Plain English,style,DUE_TO_THE_FACT,wordy phrase: due to the fact,
"<example correction=""because of"">His lack of conversation is <marker>attributable to</marker> his shyness.</example>",His lack of conversation is attributable to his shyness.,group,0,PLAIN_ENGLISH,Plain English,style,BECAUSE,Some phrases that can be simplified,
"<example correction=""because|since"">Nader had to cancel his planned invasion <marker>in light of the fact that</marker> the Abdali Afghans had rebelled and invaded Khorasan.</example>",Nader had to cancel his planned invasion in light of the fact that the Abdali Afghans had rebelled and invaded Khorasan.,group,1,PLAIN_ENGLISH,Plain English,style,BECAUSE,Some phrases that can be simplified,
"<example correction=""because of"">A national emergency exists <marker>by reason of</marker> the terrorist attacks.</example>",A national emergency exists by reason of the terrorist attacks.,group,2,PLAIN_ENGLISH,Plain English,style,BECAUSE,Some phrases that can be simplified,
"<example correction=""because"">These two syndromes are usually referred to under one name, Wernicke–Korsakoff syndrome, <marker>due to the fact that</marker> they are part of the same etiology.</example>","These two syndromes are usually referred to under one name, Wernicke–Korsakoff syndrome, due to the fact that they are part of the same etiology.",group,3,PLAIN_ENGLISH,Plain English,style,BECAUSE,Some phrases that can be simplified,
"<example correction=""because"">The Stoors also had their own dialect of Hobbitish, <marker>owing to the fact that</marker> they spent some time in Dunland.</example>","The Stoors also had their own dialect of Hobbitish, owing to the fact that they spent some time in Dunland.",group,4,PLAIN_ENGLISH,Plain English,style,BECAUSE,Some phrases that can be simplified,
"<example correction=""late"">They are on a <marker>belated</marker> honeymoon.</example>",They are on a belated honeymoon.,single,,PLAIN_ENGLISH,Plain English,style,BELATED,belated (late),
"<example correction=""by|with|through"">Major forest areas are coming back <marker>by means of</marker> natural processes.</example>",Major forest areas are coming back by means of natural processes.,single,,PLAIN_ENGLISH,Plain English,style,BY_MEANS_OF,"by means of (by, with, through)",
"<example correction=""""><marker>Obviously</marker>, this is important.</example>","Obviously, this is important.",single,,PLAIN_ENGLISH,Plain English,style,CLEARLY_OR_OBVIOUSLY,"clearly, obviously",
"<example correction=""now"">I am <marker>currently</marker> employed.</example>",I am currently employed.,single,,PLAIN_ENGLISH,Plain English,style,CURRENTLY,currently,
"<example correction=""every door"">You better check <marker>each and every door</marker>.</example>",You better check each and every door.,single,,PLAIN_ENGLISH,Plain English,style,EACH_AND_EVERY_NOUN,each and every (every),
"<example correction=""result"">The <marker>end result</marker> is clear.</example>",The end result is clear.,single,,PLAIN_ENGLISH,Plain English,style,END_RESULT_OR_PRODUCT,end result or product,
"<example correction="""">The era in which we must aggressively defend our woodlands has, <marker>for all intents and purposes</marker>, passed.</example>","The era in which we must aggressively defend our woodlands has, for all intents and purposes, passed.",single,,PLAIN_ENGLISH,Plain English,style,FOR_ALL_INTENTS_AND_PURPOSES,for all intents and purposes (omit),
"<example correction=""""><marker>For the most part</marker> people's suspicions are based on a misunderstanding of the facts.</example>",For the most part people's suspicions are based on a misunderstanding of the facts.,single,,PLAIN_ENGLISH,Plain English,style,FOR_THE_MOST_PART,for the most part (omit),
"<example correction=""to|for"">Commercial shows are one-off projects put on <marker>for the purpose of</marker> making money.</example>",Commercial shows are one-off projects put on for the purpose of making money.,single,,PLAIN_ENGLISH,Plain English,style,FOR_THE_PURPOSE_OF,"for the purpose of (to, for)",
"<example correction=""can"">The toddle <marker>has the ability to</marker> walk.</example>",The toddle has the ability to walk.,single,,PLAIN_ENGLISH,Plain English,style,HAVE_THE_ABILITY_TO,"have the ability to (be able to, can)",
"<example correction=""tends"">This policy <marker>has a tendency</marker> to isolate some communities.</example>",This policy has a tendency to isolate some communities.,single,,PLAIN_ENGLISH,Plain English,style,HAVE_A_TENDENCY,have a tendency (tends),
"<example correction="""">The policy has, <marker>in a manner of speaking</marker>, begun to Balkanize the more rural parts of our state.</example>","The policy has, in a manner of speaking, begun to Balkanize the more rural parts of our state.",single,,PLAIN_ENGLISH,Plain English,style,IN_A_MANNER_OF_SPEAKING,in a manner of speaking (omit),
"<example correction=""""><marker>In a very real sense</marker>, this policy works to the detriment of those it is supposed to help.</example>","In a very real sense, this policy works to the detriment of those it is supposed to help.",single,,PLAIN_ENGLISH,Plain English,style,IN_A_VERY_REAL_SENSE,in a very real sense (omit),
"<example correction=""more than|over|exceeding"">Her three albums have sold <marker>in excess of</marker> 17 million copies worldwide</example>",Her three albums have sold in excess of 17 million copies worldwide,single,,PLAIN_ENGLISH,Plain English,style,in_excess_of,"in excess of (more than, over, exceeding)",
"<example correction=""""><marker>In my opinion</marker>, this wasteful policy ought to be revoked.</example>","In my opinion, this wasteful policy ought to be revoked.",single,,PLAIN_ENGLISH,Plain English,style,IN_MY_OPINION,in my opinion (omit),
"<example correction=""in terms of"">Femininity is still defined <marker>in term of</marker> beauty.</example>",Femininity is still defined in term of beauty.,single,,PLAIN_ENGLISH,Plain English,style,IN_TERM_OF,in term of (in terms of),
"<example correction=""in|for"">Disclaimers vary <marker>in terms of</marker> their uniformity.</example>",Disclaimers vary in terms of their uniformity.,single,,PLAIN_ENGLISH,Plain English,style,IN_TERMS_OF,"in terms of (in, for)",
,,group,0,PLAIN_ENGLISH,Plain English,style,DESPITE_THE_FACT,"despite the fact that, in spite of the fact that (although, though)",
"<example correction=""although|even though|though"">He still loves her <marker>despite the fact that</marker> she cheated on him.</example>",He still loves her despite the fact that she cheated on him.,group,1,PLAIN_ENGLISH,Plain English,style,DESPITE_THE_FACT,"despite the fact that, in spite of the fact that (although, though)",
"<example correction=""although|even though|though"">He still loves her <marker>in spite of the fact that</marker> she cheated on him.</example>",He still loves her in spite of the fact that she cheated on him.,group,2,PLAIN_ENGLISH,Plain English,style,DESPITE_THE_FACT,"despite the fact that, in spite of the fact that (although, though)",
"<example correction=""yes|affirmatively"">The poll asked average Israelis if they support such a program, and 82 percent responded <marker>in the affirmative</marker>.</example>","The poll asked average Israelis if they support such a program, and 82 percent responded in the affirmative.",single,,PLAIN_ENGLISH,Plain English,style,IN_THE_AFFIRMATIVE,"in the affirmative (yes, affirmatively)",
"<example correction=""About|To""><marker>In the case of</marker> this particular policy, citizens of northeast Connecticut became very upset.</example>","In the case of this particular policy, citizens of northeast Connecticut became very upset.",single,,PLAIN_ENGLISH,Plain English,style,IN_THE_CASE_OF,"in the case of (about, to)",
"<example correction=""If|In case of""><marker>In the event that</marker> I can't come back by seven, you can eat without me.</example>","In the event that I can't come back by seven, you can eat without me.",single,,PLAIN_ENGLISH,Plain English,style,IN_THE_EVENT,"in the event of, in the event that (if, in case)",
"<example correction=""Finally|In conclusion""><marker>In the final analysis</marker>, it is their war.</example>","In the final analysis, it is their war.",single,,PLAIN_ENGLISH,Plain English,style,IN_THE_FINAL_ANALYSIS,"in the final or last or ultimate analysis (finally, in conclusion)",
"<example correction=""like"">Something <marker>in the nature of</marker> a repeal may soon take place.</example>",Something in the nature of a repeal may soon take place.,single,,PLAIN_ENGLISH,Plain English,style,IN_THE_NATURE_OF,in the nature of (like),
"<example correction=""almost|approximately|more or less|around|about"">They searched for the keys <marker>in the neighborhood of</marker> the playground.</example>",They searched for the keys in the neighborhood of the playground.,single,,PLAIN_ENGLISH,Plain English,style,IN_THE_NEIGHBORHOOD_OF,in the neighborhood of (about),
"<example correction="""">The work is <marker>in the process of</marker> getting done.</example>",The work is in the process of getting done.,single,,PLAIN_ENGLISH,Plain English,style,IN_THE_PROCESS_OF,in the process of,
"<example correction=""""><marker>It seems that</marker> they can't wait to get rid of this one.</example>",It seems that they can't wait to get rid of this one.,single,,PLAIN_ENGLISH,Plain English,style,IT_SEEMS_OR_APPEARS_THAT,it seems that (omit),
"<example correction=""Most|Usually""><marker>Majority</marker> of the world is covered with water.</example>",Majority of the world is covered with water.,single,,PLAIN_ENGLISH,Plain English,style,MAJORITY,"majority (most, usually) when not voting",
"<example correction=""decide on"">The school board will <marker>make decision about</marker> the first day of school.</example>",The school board will make decision about the first day of school.,single,,PLAIN_ENGLISH,Plain English,style,MAKE_DECISIONS_ABOUT,make decisions about (decide on),
"<example correction=""try"">We should <marker>make an effort</marker> to win.</example>",We should make an effort to win.,single,,PLAIN_ENGLISH,Plain English,style,MAKE_AN_ATTEMPT,make an attempt/effort/try (try),
"<example correction=""unable"">He was <marker>not able</marker> to join the meeting.</example>",He was not able to join the meeting.,single,,PLAIN_ENGLISH,Plain English,style,NOT_ABLE,not able (unable),
"<example correction=""reject"">He does <marker>not accept</marker> the proposal.</example>",He does not accept the proposal.,single,,PLAIN_ENGLISH,Plain English,style,NOT_ACCEPT,not accept (reject),
"<example correction=""uncertain"">Future is <marker>not certain</marker>.</example>",Future is not certain.,single,,PLAIN_ENGLISH,Plain English,style,NOT_CERTAIN,not certain (uncertain),
"<example correction=""similar|alike"">Sisters were <marker>not unlike</marker>.</example>",Sisters were not unlike.,single,,PLAIN_ENGLISH,Plain English,style,NOT_UNLIKE,"not unlike (similar, alike)",
"<example correction=""Few""><marker>Not many</marker> people know this.</example>",Not many people know this.,single,,PLAIN_ENGLISH,Plain English,style,NOT_MANY,not many (few),
"<example correction=""seldom|rare|rarely"">It is <marker>not very often</marker> that a hotel exceeds your expectations.</example>",It is not very often that a hotel exceeds your expectations.,single,,PLAIN_ENGLISH,Plain English,style,NOT_VERY_OFTEN,"not often, not very often (seldom. rare, rarely)",
"<example correction=""different"">The taste is <marker>not the same</marker>.</example>",The taste is not the same.,single,,PLAIN_ENGLISH,Plain English,style,NOT_THE_SAME,not the same (different),
"<example correction=""get"">We need to <marker>obtain</marker> visas.</example>",We need to obtain visas.,single,,PLAIN_ENGLISH,Plain English,style,OBTAIN,obtain (get),
"<example correction=""on|when|because of"">I was congratulated <marker>on the occasion of</marker> my son's birthday.</example>",I was congratulated on the occasion of my son's birthday.,single,,PLAIN_ENGLISH,Plain English,style,ON_THE_OCCASION_OF,"on the occasion of (on, when, because of)",
"<example correction=""But|Yet"">It was quite a good bargain. <marker>On the other hand</marker>, do we really need one?</example>","It was quite a good bargain. On the other hand, do we really need one?",single,,PLAIN_ENGLISH,Plain English,style,ON_THE_OTHER_HAND,"on the other hand (omit, but, yet)",
"<example correction=""twice"">I stayed here <marker>on two separate occasions</marker>.</example>",I stayed here on two separate occasions.,single,,PLAIN_ENGLISH,Plain English,style,ON_TWO_SEPARATE_OCCASIONS,on two separate occasions (twice),
,,group,0,PLAIN_ENGLISH,Plain English,style,QUESTION_X_WHETHER,"question as to whether, question of whether (question whether)",
"<example correction=""Whether""><marker>The question as to whether</marker> it will do any good hasn’t been determined.</example>",The question as to whether it will do any good hasn’t been determined.,group,1,PLAIN_ENGLISH,Plain English,style,QUESTION_X_WHETHER,"question as to whether, question of whether (question whether)",
"<example correction=""question whether"">There is <marker>a question of whether</marker> we need to be there or not.</example>",There is a question of whether we need to be there or not.,group,2,PLAIN_ENGLISH,Plain English,style,QUESTION_X_WHETHER,"question as to whether, question of whether (question whether)",
"<example correction=""regard as"">What industries do you <marker>regard as being</marker> highly competitive?</example>",What industries do you regard as being highly competitive?,single,,PLAIN_ENGLISH,Plain English,style,REGARD_AS_BEING,regard as being (regard as),
"<example correction=""asking for"">We are <marker>soliciting for</marker> suggestions.</example>",We are soliciting for suggestions.,single,,PLAIN_ENGLISH,Plain English,style,SOLICIT_FOR,solicit for,
"<example correction=""soon|now|sooner than expected"">I believe that spring will be here <marker>sooner rather than later</marker>.</example>",I believe that spring will be here sooner rather than later.,single,,PLAIN_ENGLISH,Plain English,style,SOONER_RATHER_THAN_LATER,"sooner rather than later (soon, now)",
"<example correction=""latest"">Many covet for a <marker>state-of-the-art</marker> cell phone.</example>",Many covet for a state-of-the-art cell phone.,group,0,PLAIN_ENGLISH,Plain English,style,STATE-OF-THE-ART,state-of-the-art,
"<example correction=""latest"">Many covet for a <marker>state of the art</marker> cell phone.</example>",Many covet for a state of the art cell phone.,group,1,PLAIN_ENGLISH,Plain English,style,STATE-OF-THE-ART,state-of-the-art,
"<example correction=""enough"">That is <marker>sufficient</marker> reason.</example>",That is sufficient reason.,single,,PLAIN_ENGLISH,Plain English,style,SUFFICIENT,sufficient (enough),
"<example correction=""""><marker>Take action to</marker> fight climate change.</example>",Take action to fight climate change.,single,,PLAIN_ENGLISH,Plain English,style,TAKE_ACTION_TO,take action to (omit),
"<example correction="""">The fear <marker>that exists</marker> among many people that we are losing our woodlands is uncalled for.</example>",The fear that exists among many people that we are losing our woodlands is uncalled for.,single,,PLAIN_ENGLISH,Plain English,style,THAT_EXISTS,that exists (omit),
"<example correction=""I|me|we"">Please contact <marker>the undersigned</marker>.</example>",Please contact the undersigned.,single,,PLAIN_ENGLISH,Plain English,style,THE_UNDERSIGNED,"the undersigned (I, me, we)",
"<example correction="""">Legislators need to be more careful of the <marker>type of</marker> policy they propose.</example>",Legislators need to be more careful of the type of policy they propose.,single,,PLAIN_ENGLISH,Plain English,style,TYPE_OF,type of (omit),
"<example correction=""until"">He may keep the key <marker>until such time as</marker> he resigns.</example>",He may keep the key until such time as he resigns.,single,,PLAIN_ENGLISH,Plain English,style,UNTIL_SUCH_TIME_AS,until such time as (until),
"<example correction=""""><marker>What I mean to say is that</marker> well intentioned lawmakers sometimes make fools of themselves.</example>",What I mean to say is that well intentioned lawmakers sometimes make fools of themselves.,single,,PLAIN_ENGLISH,Plain English,style,WHAT_I_MEAN_TO_SAY_IS_THAT,what I mean to say is that (omit),
"<example correction=""about|of|on|for|concerning|regarding"">Statement <marker>in reference to</marker> the book.</example>",Statement in reference to the book.,single,,PLAIN_ENGLISH,Plain English,style,WITH_OR_IN_REFERENCE_OR_REGARD_TO,"with/in reference to, with/in regard to (about, of, on, for, concerning, regarding)",
"<example correction=""valuable"">It was a <marker>worthwhile</marker> endeavor.</example>",It was a worthwhile endeavor.,single,,PLAIN_ENGLISH,Plain English,style,WORTHWHILE,worthwhile is weak,
"<example correction=""please""><marker>you are requested to</marker> sit down.</example>",you are requested to sit down.,single,,PLAIN_ENGLISH,Plain English,style,YOU_ARE_REQUESTED,you are requested (please),
"<example correction=""Please see|Please note""><marker>Your attention is drawn to</marker> the last page.</example>",Your attention is drawn to the last page.,group,0,PLAIN_ENGLISH,Plain English,style,DRAW_ATTENTION,"your attention is drawn, draw to your attention (please see, please note, point out)",
"<example correction=""point out"">We'd like to <marker>draw your attention to</marker> the last picture.</example>",We'd like to draw your attention to the last picture.,group,1,PLAIN_ENGLISH,Plain English,style,DRAW_ATTENTION,"your attention is drawn, draw to your attention (please see, please note, point out)",
"<example correction=""this|these"">The <marker>above-mentioned</marker> fact is important.</example>",The above-mentioned fact is important.,single,,PLAIN_ENGLISH,Plain English,style,REFERRING_BACK,Legal jargon referring to previous text,
"<example correction=""""><marker>The truth is</marker>, this is annoying.</example>","The truth is, this is annoying.",single,,PLAIN_ENGLISH,Plain English,style,THE_TRUTH_OR_FACT_IS,Starting sentence with 'The truth/fact is'.,
"<example correction="""">The band is <marker>very</marker> irritating.</example>",The band is very irritating.,single,,PLAIN_ENGLISH,Plain English,style,TIRED_INTENSIFIERS,"really, very, quite, extremely, severely (use sparingly)",
,,group,0,PLAIN_ENGLISH,Plain English,style,EMPHATIC_REFLEXIVE_PRONOUNS,emphatic reflexive pronouns (I myself),
"<example correction=""I"">There are no biscuits. <marker>I myself</marker> ate the last one.</example>",There are no biscuits. I myself ate the last one.,group,1,PLAIN_ENGLISH,Plain English,style,EMPHATIC_REFLEXIVE_PRONOUNS,emphatic reflexive pronouns (I myself),
"<example correction=""you"">I cannot do it for you. Only <marker>you yourself</marker> can do it.</example>",I cannot do it for you. Only you yourself can do it.,group,2,PLAIN_ENGLISH,Plain English,style,EMPHATIC_REFLEXIVE_PRONOUNS,emphatic reflexive pronouns (I myself),
"<example correction=""you"">I cannot do it for you. Only <marker>you yourselves</marker> can do it.</example>",I cannot do it for you. Only you yourselves can do it.,group,3,PLAIN_ENGLISH,Plain English,style,EMPHATIC_REFLEXIVE_PRONOUNS,emphatic reflexive pronouns (I myself),
"<example correction=""We"">They cannot do it for us. <marker>We ourselves</marker> must do it.</example>",They cannot do it for us. We ourselves must do it.,group,4,PLAIN_ENGLISH,Plain English,style,EMPHATIC_REFLEXIVE_PRONOUNS,emphatic reflexive pronouns (I myself),
"<example correction=""he"">You cannot do it for him. Only <marker>he himself</marker> can do it.</example>",You cannot do it for him. Only he himself can do it.,group,5,PLAIN_ENGLISH,Plain English,style,EMPHATIC_REFLEXIVE_PRONOUNS,emphatic reflexive pronouns (I myself),
"<example correction=""she"">You cannot do it for her. Only <marker>she herself</marker> can do it.</example>",You cannot do it for her. Only she herself can do it.,group,6,PLAIN_ENGLISH,Plain English,style,EMPHATIC_REFLEXIVE_PRONOUNS,emphatic reflexive pronouns (I myself),
"<example correction=""It"">The software update is not correct. <marker>It itself</marker> causes more problems than in solves.</example>",The software update is not correct. It itself causes more problems than in solves.,group,7,PLAIN_ENGLISH,Plain English,style,EMPHATIC_REFLEXIVE_PRONOUNS,emphatic reflexive pronouns (I myself),
"<example correction=""they"">You cannot do it them. Only <marker>they themselves</marker> can do it.</example>",You cannot do it them. Only they themselves can do it.,group,8,PLAIN_ENGLISH,Plain English,style,EMPHATIC_REFLEXIVE_PRONOUNS,emphatic reflexive pronouns (I myself),
"<example correction=""No. |number "">The <marker>#</marker>3</example>",The #3,single,,WIKIPEDIA,Wikipedia,,HASH_SYMBOL,Replace '#',
"<example correction=""noon"">At <marker>12 pm</marker></example>",At 12 pm,single,,WIKIPEDIA,Wikipedia,,WIKIPEDIA_12_PM,Replace '12 pm' with 'noon',
"<example correction=""midnight"">At <marker>12 am</marker></example>",At 12 am,single,,WIKIPEDIA,Wikipedia,,WIKIPEDIA_12_AM,Replace '12 am' with 'midnight',
"<example correction=""""><marker>currently</marker></example>",currently,single,,WIKIPEDIA,Wikipedia,,WIKIPEDIA_CURRENTLY,Replace 'currently' with a specific date,
"<example correction=""was not""><marker>wasn't</marker></example>",wasn't,group,0,WIKIPEDIA,Wikipedia,,WIKIPEDIA_CONTRACTIONS,Replace 'wasn't' with 'was not',
"<example correction=""it is""><marker>it's</marker></example>",it's,group,1,WIKIPEDIA,Wikipedia,,WIKIPEDIA_CONTRACTIONS,Replace 'wasn't' with 'was not',
"<example correction=""™"">The new product is Executive Choice<marker>(TM)</marker> Plus.</example>",The new product is Executive Choice(TM) Plus.,single,,TYPOGRAPHY,Typography,typographical,TRADEMARK,(TM) instead of ™,
"<example correction=""®"">Windows <marker>(R)</marker></example>",Windows (R),single,,TYPOGRAPHY,Typography,typographical,R_SYMBOL,(R) instead of ®,
"<example correction=""©"">Copyright <marker>(C)</marker> Joanna Bator, 2012</example>","Copyright (C) Joanna Bator, 2012",single,,TYPOGRAPHY,Typography,typographical,COPYRIGHT,(c) instead of ©,
"<example correction=""$7.25"">You owe me <marker>7.25$</marker>.</example>",You owe me 7.25$.,group,0,TYPOGRAPHY,Typography,typographical,CURRENCY,Position of currency symbols: '100$' ($100),
"<example correction=""$100"">You owe me <marker>$ 100</marker>.</example>",You owe me $ 100.,single,,TYPOGRAPHY,Typography,typographical,CURRENCY_SPACE,Whitespace after currency symbols: '$ 100' ($100),
"<example correction=""“"">This is a (<marker>""</marker>test"").</example>","This is a (""test"").",group,0,TYPOGRAPHY,Typography,typographical,EN_QUOTES,Smart quotes (“”),
"<example correction=""”"">This is a (""test<marker>""</marker>)</example>","This is a (""test"")",group,1,TYPOGRAPHY,Typography,typographical,EN_QUOTES,Smart quotes (“”),
"<example correction=""“""><marker>``</marker>Test”.</example>",``Test”.,group,2,TYPOGRAPHY,Typography,typographical,EN_QUOTES,Smart quotes (“”),
"<example correction=""“""><marker>„</marker>Test”.</example>",„Test”.,group,3,TYPOGRAPHY,Typography,typographical,EN_QUOTES,Smart quotes (“”),
"<example correction=""…"">This is important <marker>. . .</marker> as far as I know.</example>",This is important . . . as far as I know.,single,,TYPOGRAPHY,Typography,typographical,ELLIPSIS,Smart ellipsis (…),
"<example correction=""shouldn't|shouldn’t"">You <marker>shouldn´t</marker> do it!</example>",You shouldn´t do it!,group,0,TYPOGRAPHY,Typography,typographical,WRONG_APOSTROPHE,Wrong apostrophe character,
"<example correction=""She'll|She’ll""><marker>She´ll</marker> make a decision tomorrow.</example>",She´ll make a decision tomorrow.,group,1,TYPOGRAPHY,Typography,typographical,WRONG_APOSTROPHE,Wrong apostrophe character,
"<example correction=""I'll|I’ll""><marker>I´ll</marker> be here.</example>",I´ll be here.,group,2,TYPOGRAPHY,Typography,typographical,WRONG_APOSTROPHE,Wrong apostrophe character,
"<example correction=""You'll|You’ll""><marker>You´ll</marker> have to decide.</example>",You´ll have to decide.,group,3,TYPOGRAPHY,Typography,typographical,WRONG_APOSTROPHE,Wrong apostrophe character,
"<example correction=""shouldn't|shouldn’t"">You <marker>shouldn;t</marker> do it!</example>",You shouldn;t do it!,group,4,TYPOGRAPHY,Typography,typographical,WRONG_APOSTROPHE,Wrong apostrophe character,
"<example correction=""1990s"">Hillary Clinton asked where Bernie Sanders was in the <marker>1990's</marker>.</example>",Hillary Clinton asked where Bernie Sanders was in the 1990's.,single,,TYPOGRAPHY,Typography,typographical,APOSTROPHE_IN_DATES,Apostrophe in dates,
"<example correction=""Scheme|Measure|Project"" type=""incorrect""><marker>Action</marker> 1 Measure 1.1 - Town twinning citizens' meetings - EUR 5896000</example>",Action 1 Measure 1.1 - Town twinning citizens' meetings - EUR 5896000,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ACTION,action,
"<example correction="""" type=""incorrect"">… which have been supported by the EU and endorsed by various international <marker>actors</marker>.</example>",… which have been supported by the EU and endorsed by various international actors.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ACTOR,actor,
"<example correction=""Participation|Involvement"" type=""incorrect"">EU <marker>Actorness</marker> in International Affairs: The Case of EULEX Mission in Kosovo.</example>",EU Actorness in International Affairs: The Case of EULEX Mission in Kosovo.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ACTORNESS,actorness,
"<example correction=""current|present"" type=""incorrect"">This appropriation is… based on the <marker>actual</marker> regulations and on the probable adjustments.</example>",This appropriation is… based on the actual regulations and on the probable adjustments.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ACTUAL,actual,
"<example correction=""appropriate|suitable|fitting"" type=""incorrect"">The collection of the data should be <marker>adequate</marker> and proportionate to the objectives pursued.</example>",The collection of the data should be adequate and proportionate to the objectives pursued.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ADEQUATE,adequate,
"<example correction=""diary"" type=""incorrect"">Write the time of the meeting in your <marker>agenda</marker>.</example>",Write the time of the meeting in your agenda.,group,0,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_AGENDA,agenda,
"<example correction=""diaries"" type=""incorrect"">Three <marker>agendas</marker> were found in the meeting room.</example>",Three agendas were found in the meeting room.,group,1,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_AGENDA,agenda,
"<example correction=""staff|employees"" type=""incorrect"">The problem of vacancies mainly concerns contract <marker>agents</marker>.</example>",The problem of vacancies mainly concerns contract agents.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_AGENT,agent,
"<example correction=""aid|subsidies"" type=""incorrect"">State <marker>aids</marker> — Decisions to propose appropriate measures pursuant to Article 108(1).</example>",State aids — Decisions to propose appropriate measures pursuant to Article 108(1).,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_AIDS,aids,
"<example correction=""with the aim of|with a view to"" type=""incorrect"">List of specific recommendations from the Commission <marker>with the aim to</marker> reduce the administrative burden of REACH by SMEs.</example>",List of specific recommendations from the Commission with the aim to reduce the administrative burden of REACH by SMEs.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_AIM,aim (with the aim to),
"<example correction="""" type=""incorrect"">The statistics available do not <marker>allow to</marker> take account of all these situations.</example>",The statistics available do not allow to take account of all these situations.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ALLOW_PERMIT_ENABLE_TO,"allow (to), permit (to), enable (to)",
